Drug URL,Drug Class
https:$$www.drugs.com$ella.html,Progesterone receptor modulators
https:$$www.drugs.com$mtm$pancreatin.html,Digestive enzymes
https:$$www.drugs.com$mtm$boroleum.html,Topical rubefacient
https:$$www.drugs.com$benicar.html,Angiotensin receptor blockers
https:$$www.drugs.com$mtm$duac.html,Topical acne agents
https:$$www.drugs.com$cons$centany-topical.html,Topical antibiotics
https:$$www.drugs.com$trizivir.html,Antiviral combinations
https:$$www.drugs.com$pro$levulan-kerastick.html,Topical photochemotherapeutics
https:$$www.drugs.com$mtm$codar-gf.html,Upper respiratory combinations
https:$$www.drugs.com$arranon.html,Antimetabolites
https:$$www.drugs.com$veltin.html,Topical acne agents
https:$$www.drugs.com$cons$novamoxin-reduced-sugar-oral-injection-intravenous-intramuscular.html,Natural penicillins
https:$$www.drugs.com$teflaro.html,Next generation cephalosporins
https:$$www.drugs.com$pro$pemetrexed-injection-concentrate.html,Antimetabolites
https:$$www.drugs.com$cons$ce-vi-sol.html,Vitamins
https:$$www.drugs.com$pro$mycophenolic-acid-tablets.html,Selective immunosuppressants
https:$$www.drugs.com$mtm$sumatriptan-succinate-syringe-injection.html,Antimigraine agents
https:$$www.drugs.com$mtm$mepsevii.html,Lysosomal enzymes
https:$$www.drugs.com$pro$clocortolone-cream.html,Topical steroids
https:$$www.drugs.com$vimpat.html,Miscellaneous anticonvulsants
https:$$www.drugs.com$cons$dynacirc-cr.html,Calcium channel blocking agents
https:$$www.drugs.com$robaxin.html,Skeletal muscle relaxants
https:$$www.drugs.com$pro$triamcinolone-paste.html,Topical steroids
https:$$www.drugs.com$mtm$levemir-flextouch.html,Insulin
https:$$www.drugs.com$mtm$phazyme.html,Miscellaneous GI agents
https:$$www.drugs.com$cons$optimyxin.html,Ophthalmic anti-infectives
https:$$www.drugs.com$mtm$omeprazole-and-sodium-bicarbonate.html,Proton pump inhibitors
https:$$www.drugs.com$pro$acyclovir-capsules.html,Purine nucleosides
https:$$www.drugs.com$pro$lamisil-at-cream.html,Topical antifungals
https:$$www.drugs.com$mtm$nettle.html,Herbal products
https:$$www.drugs.com$cons$cesia.html,Contraceptives
https:$$www.drugs.com$pro$fluzone-high-dose.html,Viral vaccines
https:$$www.drugs.com$cons$vancenase-aq.html,Nasal steroids
https:$$www.drugs.com$pro$vaniqa-cream.html,Miscellaneous topical agents
https:$$www.drugs.com$mtm$scot-tussin-sugar-free-dm.html,Upper respiratory combinations
https:$$www.drugs.com$pro$thrombin-jmi.html,Miscellaneous coagulation modifiers
https:$$www.drugs.com$mtm$carmol.html,Topical emollients
https:$$www.drugs.com$mtm$vitamin-c.html,Vitamins
https:$$www.drugs.com$mtm$belimumab.html,Selective immunosuppressants
https:$$www.drugs.com$pro$sumatriptan-nasal-spray.html,Antimigraine agents
https:$$www.drugs.com$angeliq.html,Sex hormone combinations
https:$$www.drugs.com$mtm$nifurtimox.html,Miscellaneous antibiotics
https:$$www.drugs.com$mtm$maraviroc.html,Chemokine receptor antagonist
https:$$www.drugs.com$pro$sunmark-anti-diarrheal-tablet.html,Antidiarrheals
https:$$www.drugs.com$pro$clarithromycin-er.html,Macrolides
https:$$www.drugs.com$cons$good-sense-nicotine-polacrilex-lozenge-mint.html,Smoking cessation agents
https:$$www.drugs.com$pro$duobrii-lotion.html,Topical antipsoriatics
https:$$www.drugs.com$mtm$celluvisc.html,Ophthalmic lubricants and irrigations
